Network,N_Nodes,Density,Rigidity,Hidden_Ratio,Target_Bucket,Target_Node,Target_Value,Exact_SDP,Exact_Time_sec,Exact_Peak_Memory_MB_Python,Exact_Peak_Memory_MB_RSS,MCMC_Mean_SDP,MCMC_Variance,MCMC_Avg_Time_sec,MCMC_Peak_Memory_MB_Python,MCMC_Peak_Memory_MB_RSS,Absolute_Error,PT_MCMC_Mean_SDP,PT_MCMC_Variance,PT_MCMC_Avg_Time_sec,PT_Peak_Memory_MB_Python,PT_Peak_Memory_MB_RSS,PT_Absolute_Error
bn_n20_w6_uncertain_moderate.bif,20,6,uncertain_moderate,0.25,0.9,X0,1,0.8596333006102754,0.020149946212768555,0.28635692596435547,0.0,0.8546999999999999,0.00012221000000000023,1.4808515071868897,0.10450458526611328,0.0,0.004933300610275526,0.8600999999999999,0.00012949000000000023,6.476744484901428,0.2701730728149414,0.0,0.00046669938972443425
bn_n20_w6_uncertain_moderate.bif,20,6,uncertain_moderate,0.25,1.0,X0,1,1.0,0.0169525146484375,0.2639799118041992,0.0,1.0,0.0,1.5331266164779662,0.10494709014892578,0.0,0.0,1.0,0.0,6.494443702697754,0.2738351821899414,0.0,0.0
bn_n20_w6_uncertain_moderate.bif,20,6,uncertain_moderate,0.5,0.4,X0,1,0.41988486622287546,0.02052760124206543,0.23029613494873047,0.0,0.4246,0.00010743999999999996,1.5195366144180298,0.10188007354736328,0.0,0.004715133777124514,0.42190000000000005,0.00026968999999999984,6.386600518226624,0.26744937896728516,0.0,0.002015133777124589
bn_n20_w6_uncertain_moderate.bif,20,6,uncertain_moderate,0.5,0.5,X0,1,0.5480678367599624,0.01833057403564453,0.26424503326416016,0.0,0.5569,0.0003104899999999989,1.650432252883911,0.12775135040283203,0.0,0.00883216324003755,0.5438,0.00045915999999999926,6.970906090736389,0.32930850982666016,0.0,0.004267836759962451
bn_n20_w6_uncertain_moderate.bif,20,6,uncertain_moderate,0.5,0.7,X0,1,0.6502732308969191,0.019489765167236328,0.2803077697753906,0.0,0.6607000000000001,0.00017901000000000033,1.71975417137146,0.12350177764892578,0.0,0.010426769103080935,0.6586000000000001,0.00016444000000000032,7.327439498901367,0.33300113677978516,0.0,0.008326769103080944
bn_n20_w6_uncertain_moderate.bif,20,6,uncertain_moderate,0.5,0.9,X0,1,0.9429556259354385,0.01834893226623535,0.2839012145996094,0.0,0.944,1.9200000000000036e-05,1.5374281406402588,0.11314105987548828,0.0,0.0010443740645614819,0.9445,7.584999999999946e-05,6.574854493141174,0.29268741607666016,0.0,0.0015443740645615378
bn_n20_w6_uncertain_moderate.bif,20,6,uncertain_moderate,0.5,1.0,X0,1,1.0,0.011944770812988281,0.17406082153320312,0.0,1.0,0.0,1.2715908288955688,0.09691333770751953,0.0,0.0,1.0,0.0,5.463005065917969,0.24518680572509766,0.0,0.0
bn_n20_w6_uncertain_strong.bif,20,6,uncertain_strong,0.25,0.4,X12,1,0.436960752147968,0.02024245262145996,0.2886686325073242,0.0,0.43549999999999994,0.0001224500000000002,1.5058318376541138,0.11493396759033203,0.0,0.0014607521479680363,0.4389,0.0004806900000000001,6.394505715370178,0.2800149917602539,0.0,0.0019392478520320333
bn_n20_w6_uncertain_strong.bif,20,6,uncertain_strong,0.25,0.5,X12,1,0.5394724521995256,0.019455432891845703,0.31505870819091797,0.0,0.5432,0.00019955999999999994,1.9127783536911012,0.12153339385986328,0.0,0.003727547800474462,0.5405,0.00013265000000000024,8.20571346282959,0.3687448501586914,0.0,0.0010275478004744265
bn_n20_w6_uncertain_strong.bif,20,6,uncertain_strong,0.25,0.7,X12,1,0.7357312316667102,0.019220829010009766,0.31804943084716797,0.0,0.7364999999999999,0.00048065000000000087,2.299982190132141,0.13316822052001953,0.0,0.0007687683332897599,0.7343,7.321000000000012e-05,9.783393573760986,0.4415597915649414,0.0,0.0014312316667102198
bn_n20_w6_uncertain_strong.bif,20,6,uncertain_strong,0.25,0.9,X12,1,0.8710838000731846,0.01792144775390625,0.2912778854370117,0.0,0.8700000000000001,0.00017920000000000032,1.8065523862838746,0.12436389923095703,0.0,0.0010838000731845376,0.8686999999999999,7.161000000000012e-05,7.791211819648742,0.3452768325805664,0.0,0.0023838000731847275
bn_n20_w6_uncertain_strong.bif,20,6,uncertain_strong,0.25,1.0,X12,1,1.0,0.014116287231445312,0.23583602905273438,0.0,1.0,0.0,0.9895339488983155,0.08557605743408203,0.0,0.0,1.0,0.0,4.275814628601074,0.2037973403930664,0.0,0.0
bn_n20_w6_uncertain_strong.bif,20,6,uncertain_strong,0.5,0.4,X12,1,0.38792796635331955,0.021329879760742188,0.32696056365966797,0.0,0.3949,0.00020889,1.7132556676864623,0.12193012237548828,0.0,0.00697203364668042,0.39130000000000004,8.760999999999998e-05,7.3385396003723145,0.33522891998291016,0.0,0.0033720336466804834
bn_n20_w6_uncertain_strong.bif,20,6,uncertain_strong,0.5,0.5,X12,1,0.4796411048846087,0.017165184020996094,0.2596015930175781,0.0,0.48129999999999995,0.00023841000000000002,1.642251968383789,0.11726093292236328,0.0,0.0016588951153912457,0.4835,0.00013465000000000024,7.066863083839417,0.33310794830322266,0.0,0.003858895115391281
