Network,N_Nodes,Density,Rigidity,Hidden_Ratio,Target_Bucket,Target_Node,Target_Value,Exact_SDP,Exact_Time_sec,Exact_Peak_Memory_MB_Python,Exact_Peak_Memory_MB_RSS,MCMC_Mean_SDP,MCMC_Variance,MCMC_Avg_Time_sec,MCMC_Peak_Memory_MB_Python,MCMC_Peak_Memory_MB_RSS,Absolute_Error,PT_MCMC_Mean_SDP,PT_MCMC_Variance,PT_MCMC_Avg_Time_sec,PT_Peak_Memory_MB_Python,PT_Peak_Memory_MB_RSS,PT_Absolute_Error
bn_n20_w6_spread_bias_high.bif,20,6,spread_bias_high,0.25,0.8,X2,1,0.848544954774382,0.014705657958984375,0.2534456253051758,0.0,0.8460000000000001,8.240000000000013e-05,1.1627504587173463,0.09541988372802734,0.0,0.00254495477438188,0.8462,0.00014776000000000028,5.037237191200257,0.22619152069091797,0.0,0.002344954774382013
bn_n20_w6_spread_bias_high.bif,20,6,spread_bias_high,0.5,0.6,X2,1,0.573094566876785,0.01673412322998047,0.26135730743408203,0.0,0.5714,0.00026783999999999895,1.5859941959381103,0.10811519622802734,0.0,0.001694566876784931,0.5641,0.0001802899999999991,6.7999191045761105,0.2884855270385742,0.0,0.008994566876784904
bn_n20_w6_spread_bias_high.bif,20,6,spread_bias_high,0.5,0.8,X2,1,0.7729628999658553,0.014928579330444336,0.2742738723754883,0.0,0.7753,0.0001610100000000003,1.7294775009155274,0.1084890365600586,0.0,0.002337100034144668,0.7703000000000001,0.0001534100000000003,7.326165437698364,0.32261180877685547,0.0,0.0026628999658552255
bn_n20_w6_spread_bias_low.bif,20,6,spread_bias_low,0.25,0.6,X11,1,0.5794190835303561,0.012427330017089844,0.2303295135498047,0.0,0.5757000000000001,8.880999999999984e-05,1.4628601312637328,0.1035451889038086,0.0,0.0037190835303559933,0.5791999999999999,6.27600000000001e-05,6.245171117782593,0.2981595993041992,0.0,0.00021908353035615669
bn_n20_w6_spread_bias_low.bif,20,6,spread_bias_low,0.25,0.8,X11,1,0.8324249860715907,0.01435995101928711,0.26641082763671875,0.0,0.8324,0.00016023999999999983,1.3290251731872558,0.09142208099365234,0.0,2.4986071590626935e-05,0.8321,7.169000000000012e-05,5.706687331199646,0.2610502243041992,0.0,0.0003249860715907049
bn_n20_w6_spread_bias_low.bif,20,6,spread_bias_low,0.5,0.6,X11,1,0.5743533335607881,0.013261795043945312,0.24380207061767578,0.0,0.5754999999999999,0.00016465,1.101809310913086,0.0939016342163086,0.0,0.0011466664392117965,0.5693,0.0002360099999999993,4.683402490615845,0.20948314666748047,0.0,0.005053333560788076
bn_n20_w6_spread_bias_low.bif,20,6,spread_bias_low,0.5,0.8,X11,1,0.7861277235412859,0.016796112060546875,0.25673484802246094,0.0,0.7881,0.00016669000000000032,1.8052444219589234,0.1226949691772461,0.0,0.0019722764587141173,0.7817999999999999,0.00022456000000000038,7.7099034786224365,0.35724925994873047,0.0,0.004327723541285966
bn_n20_w6_uncertain_moderate.bif,20,6,uncertain_moderate,0.25,0.6,X0,1,0.6127307073445389,0.015796184539794922,0.2879467010498047,0.0,0.6137,9.141000000000016e-05,1.3616576671600342,0.1015768051147461,0.0,0.0009692926554610848,0.6144999999999999,0.0002954500000000005,6.003535676002502,0.2517271041870117,0.0,0.0017692926554609967
bn_n20_w6_uncertain_moderate.bif,20,6,uncertain_moderate,0.25,0.8,X0,1,0.7780820550344266,0.019207477569580078,0.3216676712036133,0.0,0.7782,0.0002227600000000004,2.7711111545562743,0.1753835678100586,0.0,0.00011794496557337997,0.7768,0.0003453600000000006,11.8670254945755,0.5160684585571289,0.0,0.0012820550344265769
bn_n20_w6_uncertain_moderate.bif,20,6,uncertain_moderate,0.5,0.6,X0,1,0.5867376679000131,0.009684562683105469,0.27925682067871094,0.0,0.585,0.00025699999999999985,1.3835334062576294,0.0993337631225586,0.0,0.0017376679000131734,0.591,0.00020480000000000037,5.927358984947205,0.26768016815185547,0.0,0.004262332099986832
