Network,N_Nodes,Density,Rigidity,Hidden_Ratio,Target_Bucket,Target_Node,Target_Value,Exact_SDP,Exact_Time_sec,Exact_Peak_Memory_MB,MCMC_Mean_SDP,MCMC_Variance,MCMC_Avg_Time_sec,MCMC_Peak_Memory_MB,Absolute_Error,PT_MCMC_Mean_SDP,PT_MCMC_Variance,PT_MCMC_Avg_Time_sec,PT_Peak_Memory_MB,PT_Absolute_Error
bn_n50_w2_uncertain_strong.bif,50,2,uncertain_strong,0.25,0.8,X2,1,0.8199871945179531,0.02918553352355957,0.42388153076171875,0.8182999999999998,0.00018980999999999927,1.064892292022705,0.10018444061279297,0.0016871945179532943,0.8163,0.00034520999999999884,4.461818599700928,0.22832298278808594,0.003687194517953074
bn_n50_w2_uncertain_strong.bif,50,2,uncertain_strong,0.25,0.9,X2,1,0.9486492576194101,0.031758785247802734,0.4756011962890625,0.9465,3.1850000000000056e-05,1.2083364248275756,0.10566997528076172,0.0021492576194100943,0.9455999999999998,1.9240000000000033e-05,5.068004536628723,0.2312002182006836,0.0030492576194103282
bn_n50_w2_uncertain_strong.bif,50,2,uncertain_strong,0.25,1.0,X2,1,1.0,0.029974937438964844,0.430450439453125,1.0,0.0,1.1677364826202392,0.10154247283935547,0.0,1.0,0.0,4.971952438354492,0.2255239486694336,0.0
bn_n50_w2_uniform.bif,50,2,uniform,0.25,0.4,X3,1,0.4431679733417979,0.03139948844909668,0.42911243438720703,0.44139999999999996,0.00018423999999999998,1.095185923576355,0.10019969940185547,0.001767973341797957,0.44800000000000006,0.00015860000000000003,4.545519185066223,0.2119894027709961,0.004832026658202149
bn_n50_w2_uniform.bif,50,2,uniform,0.25,0.5,X3,1,0.5468947471677036,0.03145647048950195,0.4107208251953125,0.5467000000000001,0.0003832099999999996,1.0133187532424928,0.09827709197998047,0.00019474716770351286,0.5383,0.00030380999999999995,4.255535507202149,0.2170391082763672,0.008594747167703587
bn_n50_w2_uniform.bif,50,2,uniform,0.25,0.6,X3,1,0.574974941545965,0.028827667236328125,0.41436004638671875,0.5732999999999999,0.00017300999999999948,0.9461200714111329,0.09218883514404297,0.0016749415459650363,0.5835999999999999,0.00014444000000000026,3.932717728614807,0.1837911605834961,0.00862505845403494
bn_n50_w2_uniform.bif,50,2,uniform,0.25,0.7,X3,1,0.6968354020039402,0.03190445899963379,0.44699859619140625,0.6869000000000001,0.00021828999999999897,1.141075325012207,0.09993267059326172,0.009935402003940164,0.6942,0.00015575999999999925,4.638538217544555,0.2151174545288086,0.0026354020039401904
bn_n50_w2_uniform.bif,50,2,uniform,0.25,0.8,X3,1,0.7564795069478272,0.026436567306518555,0.3926849365234375,0.7534000000000001,0.00025984000000000044,0.9482255458831788,0.09593486785888672,0.003079506947827104,0.7595,8.065000000000014e-05,4.015737628936767,0.1912984848022461,0.003020493052172779
bn_n50_w2_uniform.bif,50,2,uniform,0.25,0.9,X3,1,0.8839178681758164,0.027683019638061523,0.42218780517578125,0.8873,6.781000000000011e-05,1.084428071975708,0.10045909881591797,0.003382131824183565,0.8847999999999999,0.0001081600000000002,4.547820520401001,0.2040090560913086,0.0008821318241835074
bn_n50_w2_uniform.bif,50,2,uniform,0.25,1.0,X3,1,1.0,0.023125886917114258,0.38616180419921875,1.0,0.0,1.089424467086792,0.09964275360107422,0.0,1.0,0.0,4.564948916435242,0.2125997543334961,0.0
